"Two Factor Auth","Two Factor Auth",module,MSP_TwoFactorAuth
"Security Suite","Security Suite",module,MSP_TwoFactorAuth
Security,Security,module,MSP_TwoFactorAuth
General,General,module,MSP_TwoFactorAuth
"Enable Two Factor Auth","Enable Two Factor Auth",module,MSP_TwoFactorAuth
"Force providers","Force providers",module,MSP_TwoFactorAuth
"Google Authenticator","Google Authenticator",module,MSP_TwoFactorAuth
"Enable this provider","Enable this provider",module,MSP_TwoFactorAuth
"Enable ""trust this device"" option","Enable ""trust this device"" option",module,MSP_TwoFactorAuth
"U2F Devices (Yubikey and others)","U2F Devices (Yubikey and others)",module,MSP_TwoFactorAuth
"Duo Security","Duo Security",module,MSP_TwoFactorAuth
"Integration key","Integration key",module,MSP_TwoFactorAuth
"Secret key","Secret key",module,MSP_TwoFactorAuth
"API hostname","API hostname",module,MSP_TwoFactorAuth
Authy,Authy,module,MSP_TwoFactorAuth
"API key","API key",module,MSP_TwoFactorAuth
"OneTouch Message","OneTouch Message",module,MSP_TwoFactorAuth
"Configuration reset","Configuration reset",module,MSP_TwoFactorAuth
"Trusted devices","Trusted devices",module,MSP_TwoFactorAuth
