"Subscription status","Subscription status",module,Magento_Analytics
"Sorry, there has been an error processing your request. Please try again later.","Sorry, there has been an error processing your request. Please try again later.",module,Magento_Analytics
"The time value is using an unsupported format. Enter a supported format and try again.","The time value is using an unsupported format. Enter a supported format and try again.",module,Magento_Analytics
"Cron settings can't be saved","Cron settings can't be saved",module,Magento_Analytics
"There was an error save new configuration value.","There was an error save new configuration value.",module,Magento_Analytics
"Please select an industry.","Please select an industry.",module,Magento_Analytics
"--Please Select--","--Please Select--",module,Magento_Analytics
"Command was not found.","Command was not found.",module,Magento_Analytics
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","The data is invalid. Enter the data as a string or data that can be converted into a string and try again.",module,Magento_Analytics
"The data is invalid. Enter the data as a string and try again.","The data is invalid. Enter the data as a string and try again.",module,Magento_Analytics
"The data is invalid. Use a valid cipher method and try again.","The data is invalid. Use a valid cipher method and try again.",module,Magento_Analytics
"Enter the encryption key and try again.","Enter the encryption key and try again.",module,Magento_Analytics
"The ""%1"" source doesn't exist.","The ""%1"" source doesn't exist.",module,Magento_Analytics
"These arguments can't be empty ""%1""","These arguments can't be empty ""%1""",module,Magento_Analytics
"Cannot find predefined integration user!","Cannot find predefined integration user!",module,Magento_Analytics
"File is not ready yet.","File is not ready yet.",module,Magento_Analytics
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.",module,Magento_Analytics
"Failed to synchronize data to the Magento Business Intelligence service. ","Failed to synchronize data to the Magento Business Intelligence service. ",module,Magento_Analytics
"Retry Synchronization","Retry Synchronization",module,Magento_Analytics
TestMessage,TestMessage,module,Magento_Analytics
"Apps and Games","Apps and Games",module,Magento_Analytics
"Athletic/Sporting Goods","Athletic/Sporting Goods",module,Magento_Analytics
"Art and Design","Art and Design",module,Magento_Analytics
"Advanced Reporting","Advanced Reporting",module,Magento_Analytics
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.",module,Magento_Analytics
"Go to Advanced Reporting","Go to Advanced Reporting",module,Magento_Analytics
