No,No,module,Magento_LayeredNavigation
"Filterable (with results)","Filterable (with results)",module,Magento_LayeredNavigation
"Filterable (no results)","Filterable (no results)",module,Magento_LayeredNavigation
"Use in Layered Navigation","Use in Layered Navigation",module,Magento_LayeredNavigation
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price",module,Magento_LayeredNavigation
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Can be used only with catalog input type Dropdown, Multiple Select and Price.",module,Magento_LayeredNavigation
"Use in Search Results Layered Navigation","Use in Search Results Layered Navigation",module,Magento_LayeredNavigation
Position,Position,module,Magento_LayeredNavigation
"Position in Layered Navigation","Position in Layered Navigation",module,Magento_LayeredNavigation
"Position of attribute in layered navigation block.","Position of attribute in layered navigation block.",module,Magento_LayeredNavigation
item,item,module,Magento_LayeredNavigation
items,items,module,Magento_LayeredNavigation
"Now Shopping by","Now Shopping by",module,Magento_LayeredNavigation
Previous,Previous,module,Magento_LayeredNavigation
Remove,Remove,module,Magento_LayeredNavigation
"Remove This Item","Remove This Item",module,Magento_LayeredNavigation
"Shop By","Shop By",module,Magento_LayeredNavigation
"Clear All","Clear All",module,Magento_LayeredNavigation
"Shopping Options","Shopping Options",module,Magento_LayeredNavigation
