"Order Status","Order Status",module,Dotdigitalgroup_Email
"Automation Program","Automation Program",module,Dotdigitalgroup_Email
"Add New Enrolment","Add New Enrolment",module,Dotdigitalgroup_Email
"Add New Attribute","Add New Attribute",module,Dotdigitalgroup_Email
Attribute,Attribute,module,Dotdigitalgroup_Email
"Data Field","Data Field",module,Dotdigitalgroup_Email
"Run Now","Run Now",module,Dotdigitalgroup_Email
Disconnect,Disconnect,module,Dotdigitalgroup_Email
Connect,Connect,module,Dotdigitalgroup_Email
"Add New Condition","Add New Condition",module,Dotdigitalgroup_Email
Condition,Condition,module,Dotdigitalgroup_Email
Value,Value,module,Dotdigitalgroup_Email
Dashboard,Dashboard,module,Dotdigitalgroup_Email
"Run Contact Sync","Run Contact Sync",module,Dotdigitalgroup_Email
"Run Importer Sync","Run Importer Sync",module,Dotdigitalgroup_Email
"dotmailer Configuration","dotmailer Configuration",module,Dotdigitalgroup_Email
"v. %1","v. %1",module,Dotdigitalgroup_Email
"ver. %1","ver. %1",module,Dotdigitalgroup_Email
"%1 h","%1 h",module,Dotdigitalgroup_Email
"No limit","No limit",module,Dotdigitalgroup_Email
Locked.,Locked.,module,Dotdigitalgroup_Email
"Not Locked.","Not Locked.",module,Dotdigitalgroup_Email
"Log Viewer","Log Viewer",module,Dotdigitalgroup_Email
"Edit Rule %1","Edit Rule %1",module,Dotdigitalgroup_Email
"New Rule","New Rule",module,Dotdigitalgroup_Email
Conditions,Conditions,module,Dotdigitalgroup_Email
"Exclusion Rule Conditions","Exclusion Rule Conditions",module,Dotdigitalgroup_Email
"Conditions Combination Match","Conditions Combination Match",module,Dotdigitalgroup_Email
ALL,ALL,module,Dotdigitalgroup_Email
ANY,ANY,module,Dotdigitalgroup_Email
"Rule Information","Rule Information",module,Dotdigitalgroup_Email
"Rule Name","Rule Name",module,Dotdigitalgroup_Email
"Rule Type","Rule Type",module,Dotdigitalgroup_Email
Status,Status,module,Dotdigitalgroup_Email
Active,Active,module,Dotdigitalgroup_Email
Inactive,Inactive,module,Dotdigitalgroup_Email
Websites,Websites,module,Dotdigitalgroup_Email
"Exclusion Rule","Exclusion Rule",module,Dotdigitalgroup_Email
Edit,Edit,module,Dotdigitalgroup_Email
Automation,Automation,module,Dotdigitalgroup_Email
"Use Standard","Use Standard",module,Dotdigitalgroup_Email
"Run syncs to populate email_ tables before importing to Engagement Cloud","Run syncs to populate email_ tables before importing to Engagement Cloud",module,Dotdigitalgroup_Email
"The name of the sync to run","The name of the sync to run",module,Dotdigitalgroup_Email
"Specify a date/time (parsable by \DateTime) to run a sync from (if supported)","Specify a date/time (parsable by \DateTime) to run a sync from (if supported)",module,Dotdigitalgroup_Email
"Started running sync","Started running sync",module,Dotdigitalgroup_Email
"Complete in","Complete in",module,Dotdigitalgroup_Email
"Please select an Engagement Cloud sync to run","Please select an Engagement Cloud sync to run",module,Dotdigitalgroup_Email
"Please select a sync","Please select a sync",module,Dotdigitalgroup_Email
Abandoned,Abandoned,module,Dotdigitalgroup_Email
Reports,Reports,module,Dotdigitalgroup_Email
"Abandoned Cart Report","Abandoned Cart Report",module,Dotdigitalgroup_Email
"Automation Report","Automation Report",module,Dotdigitalgroup_Email
Campaign,Campaign,module,Dotdigitalgroup_Email
"Campaign ","Campaign ",module,Dotdigitalgroup_Email
"Campaign Report","Campaign Report",module,Dotdigitalgroup_Email
Catalog,Catalog,module,Dotdigitalgroup_Email
"Catalog ","Catalog ",module,Dotdigitalgroup_Email
"Catalog Report","Catalog Report",module,Dotdigitalgroup_Email
Contacts,Contacts,module,Dotdigitalgroup_Email
"Contacts ","Contacts ",module,Dotdigitalgroup_Email
"Contact Report","Contact Report",module,Dotdigitalgroup_Email
"Cron Tasks","Cron Tasks",module,Dotdigitalgroup_Email
Report,Report,module,Dotdigitalgroup_Email
Cron,Cron,module,Dotdigitalgroup_Email
"Dashboard ","Dashboard ",module,Dotdigitalgroup_Email
"dotdigital Engagement Cloud Dashboard","dotdigital Engagement Cloud Dashboard",module,Dotdigitalgroup_Email
"Please select cron.","Please select cron.",module,Dotdigitalgroup_Email
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted.",module,Dotdigitalgroup_Email
"Data field successfully created.","Data field successfully created.",module,Dotdigitalgroup_Email
"Import Report","Import Report",module,Dotdigitalgroup_Email
Importer,Importer,module,Dotdigitalgroup_Email
"Please select importer.","Please select importer.",module,Dotdigitalgroup_Email
"Total of %1 record(s) were reset.","Total of %1 record(s) were reset.",module,Dotdigitalgroup_Email
"Log Viewer ","Log Viewer ",module,Dotdigitalgroup_Email
"dotdigital Log Viewer","dotdigital Log Viewer",module,Dotdigitalgroup_Email
Orders,Orders,module,Dotdigitalgroup_Email
"Order Report","Order Report",module,Dotdigitalgroup_Email
Reviews,Reviews,module,Dotdigitalgroup_Email
"Review Report","Review Report",module,Dotdigitalgroup_Email
