link,link,module,Klarna_Kp
"Click on this %1 to visit the Klarna Merchant Onboarding Page and request credentials.","Click on this %1 to visit the Klarna Merchant Onboarding Page and request credentials.",module,Klarna_Kp
"Unable to release authorization for the token %1","Unable to release authorization for the token %1",module,Klarna_Kp
"Unable to authorize payment for this order.","Unable to authorize payment for this order.",module,Klarna_Kp
"Klarna API Credentials are required","Klarna API Credentials are required",module,Klarna_Kp
"Missing required attribute(s) on %1: ""%2"".","Missing required attribute(s) on %1: ""%2"".",module,Klarna_Kp
"Order line totals do not total order_amount - %1 != %2","Order line totals do not total order_amount - %1 != %2",module,Klarna_Kp
"Klarna Payments is not enabled","Klarna Payments is not enabled",module,Klarna_Kp
"Please check credentials","Please check credentials",module,Klarna_Kp
"Unable to initialize Klarna payments session","Unable to initialize Klarna payments session",module,Klarna_Kp
"Place Order","Place Order",module,Klarna_Kp
"An unknown error occurred. Please try another payment method","An unknown error occurred. Please try another payment method",module,Klarna_Kp
"Klarna Payments","Klarna Payments",module,Klarna_Kp
"Enable this Solution","Enable this Solution",module,Klarna_Kp
"Note: API credentials and settings are shared with the Klarna Checkout payment method.","Note: API credentials and settings are shared with the Klarna Checkout payment method.",module,Klarna_Kp
"Payment from applicable countries","Payment from applicable countries",module,Klarna_Kp
"If set to specific, guest customers will not have a billing country and may not be able to checkout.","If set to specific, guest customers will not have a billing country and may not be able to checkout.",module,Klarna_Kp
"Payment from Specific countries","Payment from Specific countries",module,Klarna_Kp
"Enable B2B","Enable B2B",module,Klarna_Kp
"Allow B2B payments (Not available in all markets. Must be setup in your contract with Klarna)","Allow B2B payments (Not available in all markets. Must be setup in your contract with Klarna)",module,Klarna_Kp
"Data sharing","Data sharing",module,Klarna_Kp
"Allow customer data to be shared with Klarna before customer places the order. (Enabling this option has an effect in the US only)","Allow customer data to be shared with Klarna before customer places the order. (Enabling this option has an effect in the US only)",module,Klarna_Kp
"Sort Order","Sort Order",module,Klarna_Kp
"Klarna Payments Design","Klarna Payments Design",module,Klarna_Kp
"Details color","Details color",module,Klarna_Kp
"Example: #0072CC","Example: #0072CC",module,Klarna_Kp
"Border color","Border color",module,Klarna_Kp
"Selected border color","Selected border color",module,Klarna_Kp
"Text color","Text color",module,Klarna_Kp
"Border Radius","Border Radius",module,Klarna_Kp
"Example: 5px","Example: 5px",module,Klarna_Kp
"Klarna Payments (North America)","Klarna Payments (North America)",module,Klarna_Kp
"Klarna Payments (Europe)","Klarna Payments (Europe)",module,Klarna_Kp
