Country,Country,module,Magento_Braintree
"Allowed Credit Card Types","Allowed Credit Card Types",module,Magento_Braintree
"Add Rule","Add Rule",module,Magento_Braintree
"Braintree Settlement Report","Braintree Settlement Report",module,Magento_Braintree
"Sorry, but something went wrong","Sorry, but something went wrong",module,Magento_Braintree
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again.",module,Magento_Braintree
"The order #%1 cannot be processed.","The order #%1 cannot be processed.",module,Magento_Braintree
"No authorization transaction to proceed capture.","No authorization transaction to proceed capture.",module,Magento_Braintree
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request.",module,Magento_Braintree
"Transaction is cancelled offline.","Transaction is cancelled offline.",module,Magento_Braintree
"Braintree error response.","Braintree error response.",module,Magento_Braintree
"Payment method nonce can't be retrieved.","Payment method nonce can't be retrieved.",module,Magento_Braintree
"Wrong transaction status","Wrong transaction status",module,Magento_Braintree
Authorize,Authorize,module,Magento_Braintree
"Authorize and Capture","Authorize and Capture",module,Magento_Braintree
"--Please Select--","--Please Select--",module,Magento_Braintree
"Credit Card","Credit Card",module,Magento_Braintree
ending,ending,module,Magento_Braintree
expires,expires,module,Magento_Braintree
PayPal,PayPal,module,Magento_Braintree
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.",module,Magento_Braintree
"Transaction was failed.","Transaction was failed.",module,Magento_Braintree
"Credit Card Type","Credit Card Type",module,Magento_Braintree
"Credit Card Number","Credit Card Number",module,Magento_Braintree
"Please, enter valid Credit Card Number","Please, enter valid Credit Card Number",module,Magento_Braintree
"Expiration Date","Expiration Date",module,Magento_Braintree
"Please, enter valid Expiration Date","Please, enter valid Expiration Date",module,Magento_Braintree
"Card Verification Number","Card Verification Number",module,Magento_Braintree
"Please, enter valid Card Verification Number","Please, enter valid Card Verification Number",module,Magento_Braintree
"Save for later use.","Save for later use.",module,Magento_Braintree
"Are you sure you want to delete this PayPal account","Are you sure you want to delete this PayPal account",module,Magento_Braintree
"PayPal Account","PayPal Account",module,Magento_Braintree
"PayPal Logo","PayPal Logo",module,Magento_Braintree
Actions,Actions,module,Magento_Braintree
Delete,Delete,module,Magento_Braintree
"Credit Card Information","Credit Card Information",module,Magento_Braintree
"What is this?","What is this?",module,Magento_Braintree
"Place Order","Place Order",module,Magento_Braintree
"This payment is not available","This payment is not available",module,Magento_Braintree
"Braintree can't be initialized.","Braintree can't be initialized.",module,Magento_Braintree
MM,MM,module,Magento_Braintree
YY,YY,module,Magento_Braintree
"Some payment input fields are invalid.","Some payment input fields are invalid.",module,Magento_Braintree
"Please try again with another form of payment.","Please try again with another form of payment.",module,Magento_Braintree
"Payment ","Payment ",module,Magento_Braintree
"Braintree Settlement","Braintree Settlement",module,Magento_Braintree
"Credit card type is not accepted by this merchant account.","Credit card type is not accepted by this merchant account.",module,Magento_Braintree
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.",module,Magento_Braintree
"Credit transactions cannot be refunded.","Credit transactions cannot be refunded.",module,Magento_Braintree
"Cannot refund a transaction unless it is settled.","Cannot refund a transaction unless it is settled.",module,Magento_Braintree
"Cannot submit for settlement unless status is authorized.","Cannot submit for settlement unless status is authorized.",module,Magento_Braintree
"Customer does not have any credit cards.","Customer does not have any credit cards.",module,Magento_Braintree
"Transaction has already been completely refunded.","Transaction has already been completely refunded.",module,Magento_Braintree
"Payment instrument type is not accepted by this merchant account.","Payment instrument type is not accepted by this merchant account.",module,Magento_Braintree
"Processor authorization code cannot be set unless for a voice authorization.","Processor authorization code cannot be set unless for a voice authorization.",module,Magento_Braintree
"Refund amount is too large.","Refund amount is too large.",module,Magento_Braintree
"Settlement amount is too large.","Settlement amount is too large.",module,Magento_Braintree
"Cannot provide a billing address unless also providing a credit card.","Cannot provide a billing address unless also providing a credit card.",module,Magento_Braintree
"Cannot refund a transaction with a suspended merchant account.","Cannot refund a transaction with a suspended merchant account.",module,Magento_Braintree
"Merchant account does not support refunds.","Merchant account does not support refunds.",module,Magento_Braintree
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.",module,Magento_Braintree
"PayPal is not enabled for your merchant account.","PayPal is not enabled for your merchant account.",module,Magento_Braintree
"Partial settlements are not supported by this processor.","Partial settlements are not supported by this processor.",module,Magento_Braintree
