"Percent Discount","Percent Discount",module,Magento_Bundle
"-- Select --","-- Select --",module,Magento_Bundle
Dynamic,Dynamic,module,Magento_Bundle
Fixed,Fixed,module,Magento_Bundle
"Create New Option","Create New Option",module,Magento_Bundle
"Bundle Items","Bundle Items",module,Magento_Bundle
"Add Products to Option","Add Products to Option",module,Magento_Bundle
Close,Close,module,Magento_Bundle
"Delete Option","Delete Option",module,Magento_Bundle
"What are you looking for?","What are you looking for?",module,Magento_Bundle
ID,ID,module,Magento_Bundle
Product,Product,module,Magento_Bundle
SKU,SKU,module,Magento_Bundle
Price,Price,module,Magento_Bundle
Delete,Delete,module,Magento_Bundle
"Use Default Value","Use Default Value",module,Magento_Bundle
"There is no defined renderer for ""%1"" option type.","There is no defined renderer for ""%1"" option type.",module,Magento_Bundle
"This is implemented for bundle products only.","This is implemented for bundle products only.",module,Magento_Bundle
"The product with the ""%1"" SKU isn't a bundle product.","The product with the ""%1"" SKU isn't a bundle product.",module,Magento_Bundle
"The bundle product can't contain another composite product.","The bundle product can't contain another composite product.",module,Magento_Bundle
"The product link needs an ID field entered. Enter and try again.","The product link needs an ID field entered. Enter and try again.",module,Magento_Bundle
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.",module,Magento_Bundle
"Could not save child: ""%1""","Could not save child: ""%1""",module,Magento_Bundle
"Product with specified sku: ""%1"" does not contain option: ""%2""","Product with specified sku: ""%1"" does not contain option: ""%2""",module,Magento_Bundle
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Child with specified sku: ""%1"" already assigned to product: ""%2""",module,Magento_Bundle
"The bundle product doesn't exist. Review your request and try again.","The bundle product doesn't exist. Review your request and try again.",module,Magento_Bundle
"The option that was requested doesn't exist. Verify the entity and try again.","The option that was requested doesn't exist. Verify the entity and try again.",module,Magento_Bundle
"The option couldn't be saved.","The option couldn't be saved.",module,Magento_Bundle
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again.",module,Magento_Bundle
"The option with ""%1"" ID can't be deleted.","The option with ""%1"" ID can't be deleted.",module,Magento_Bundle
"Price Range","Price Range",module,Magento_Bundle
"As Low as","As Low as",module,Magento_Bundle
Together,Together,module,Magento_Bundle
Separately,Separately,module,Magento_Bundle
"Please specify product option(s).","Please specify product option(s).",module,Magento_Bundle
"The options you selected are not available.","The options you selected are not available.",module,Magento_Bundle
"The required options you selected are not available.","The required options you selected are not available.",module,Magento_Bundle
"Please select all required options.","Please select all required options.",module,Magento_Bundle
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now.",module,Magento_Bundle
N/A,N/A,module,Magento_Bundle
Percent,Percent,module,Magento_Bundle
"We can't save custom-defined options for bundles with dynamic pricing.","We can't save custom-defined options for bundles with dynamic pricing.",module,Magento_Bundle
Cancel,Cancel,module,Magento_Bundle
"Add Selected Products","Add Selected Products",module,Magento_Bundle
"Add Option","Add Option",module,Magento_Bundle
"New Option","New Option",module,Magento_Bundle
"Option Title","Option Title",module,Magento_Bundle
"Default Title","Default Title",module,Magento_Bundle
"Store View Title","Store View Title",module,Magento_Bundle
"Input Type","Input Type",module,Magento_Bundle
Drop-down,Drop-down,module,Magento_Bundle
"Radio Buttons","Radio Buttons",module,Magento_Bundle
Checkbox,Checkbox,module,Magento_Bundle
"Multiple Select","Multiple Select",module,Magento_Bundle
Required,Required,module,Magento_Bundle
"Is Default","Is Default",module,Magento_Bundle
Name,Name,module,Magento_Bundle
"Default Quantity","Default Quantity",module,Magento_Bundle
"User Defined","User Defined",module,Magento_Bundle
"Price Type","Price Type",module,Magento_Bundle
None,None,module,Magento_Bundle
Quantity:,Quantity:,module,Magento_Bundle
"Choose a selection...","Choose a selection...",module,Magento_Bundle
"Ship Bundle Items","Ship Bundle Items",module,Magento_Bundle
Position,Position,module,Magento_Bundle
