"Page not found.","Page not found.",module,Magento_Contact
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Thanks for contacting us with your comments and questions. We'll respond to you very soon.",module,Magento_Contact
"An error occurred while processing your form. Please try again later.","An error occurred while processing your form. Please try again later.",module,Magento_Contact
"Enter the Name and try again.","Enter the Name and try again.",module,Magento_Contact
"Enter the comment and try again.","Enter the comment and try again.",module,Magento_Contact
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again.",module,Magento_Contact
"* Required Fields","* Required Fields",module,Magento_Contact
"Write Us","Write Us",module,Magento_Contact
"Jot us a note and we’ll get back to you as quickly as possible.","Jot us a note and we’ll get back to you as quickly as possible.",module,Magento_Contact
Name,Name,module,Magento_Contact
Email,Email,module,Magento_Contact
"Phone Number","Phone Number",module,Magento_Contact
"What’s on your mind?","What’s on your mind?",module,Magento_Contact
Submit,Submit,module,Magento_Contact
"Contact Form","Contact Form",module,Magento_Contact
Phone,Phone,module,Magento_Contact
Message,Message,module,Magento_Contact
"Contacts Section","Contacts Section",module,Magento_Contact
Contacts,Contacts,module,Magento_Contact
"Contact Us","Contact Us",module,Magento_Contact
"Enable Contact Us","Enable Contact Us",module,Magento_Contact
"Email Options","Email Options",module,Magento_Contact
"Send Emails To","Send Emails To",module,Magento_Contact
"Email Sender","Email Sender",module,Magento_Contact
"Email Template","Email Template",module,Magento_Contact
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected.",module,Magento_Contact
