"No destination address was provided in the request","No destination address was provided in the request",module,Magento_InventoryDistanceBasedSourceSelection
"Google API key is not defined","Google API key is not defined",module,Magento_InventoryDistanceBasedSourceSelection
"Unable to connect google API for distance matrix","Unable to connect google API for distance matrix",module,Magento_InventoryDistanceBasedSourceSelection
"Unable to get distance between %1 and %2","Unable to get distance between %1 and %2",module,Magento_InventoryDistanceBasedSourceSelection
"Unable to connect google API for geocoding","Unable to connect google API for geocoding",module,Magento_InventoryDistanceBasedSourceSelection
"Unable to geocode address %1","Unable to geocode address %1",module,Magento_InventoryDistanceBasedSourceSelection
"Cannot download country","Cannot download country",module,Magento_InventoryDistanceBasedSourceSelection
"Undefined country code","Undefined country code",module,Magento_InventoryDistanceBasedSourceSelection
"Unknown geoname for %1","Unknown geoname for %1",module,Magento_InventoryDistanceBasedSourceSelection
"Distance Priority","Distance Priority",module,Magento_InventoryDistanceBasedSourceSelection
"Algorithm which provides Source Selections based on shipping address distance from the source","Algorithm which provides Source Selections based on shipping address distance from the source",module,Magento_InventoryDistanceBasedSourceSelection
