"Export VCL for Varnish %1","Export VCL for Varnish %1",module,Magento_PageCache
"Access List value ""%1"" is not valid. Please use only IP addresses and host names.","Access List value ""%1"" is not valid. Please use only IP addresses and host names.",module,Magento_PageCache
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.",module,Magento_PageCache
"Built-in Cache","Built-in Cache",module,Magento_PageCache
"Varnish Cache (Recommended)","Varnish Cache (Recommended)",module,Magento_PageCache
"Unsupported varnish version","Unsupported varnish version",module,Magento_PageCache
"Full Page Cache","Full Page Cache",module,Magento_PageCache
"Caching Application","Caching Application",module,Magento_PageCache
"Varnish Configuration","Varnish Configuration",module,Magento_PageCache
"Access list","Access list",module,Magento_PageCache
"IPs access list separated with ',' that can purge Varnish configuration for config file generation.
                            If field is empty default value localhost will be saved.","IPs access list separated with ',' that can purge Varnish configuration for config file generation.
                            If field is empty default value localhost will be saved.",module,Magento_PageCache
"Backend host","Backend host",module,Magento_PageCache
"Specify backend host for config file generation. If field is empty default value localhost will be saved.","Specify backend host for config file generation. If field is empty default value localhost will be saved.",module,Magento_PageCache
"Backend port","Backend port",module,Magento_PageCache
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.","Specify backend port for config file generation. If field is empty default value 8080 will be saved.",module,Magento_PageCache
"Grace period","Grace period",module,Magento_PageCache
"Specify grace period in seconds for config file generation. If field is empty default value 300 will be saved. This grace period will be used to serve cached content when the server is healthy. If the server is not healthy, cached content will be served for 3 days before failing.","Specify grace period in seconds for config file generation. If field is empty default value 300 will be saved. This grace period will be used to serve cached content when the server is healthy. If the server is not healthy, cached content will be served for 3 days before failing.",module,Magento_PageCache
"Export Configuration","Export Configuration",module,Magento_PageCache
"TTL for public content","TTL for public content",module,Magento_PageCache
"Public content cache lifetime in seconds. If field is empty default value 86400 will be saved.","Public content cache lifetime in seconds. If field is empty default value 86400 will be saved.",module,Magento_PageCache
"Page Cache","Page Cache",module,Magento_PageCache
"Full page caching","Full page caching",module,Magento_PageCache
