"You saved the alert subscription.","You saved the alert subscription.",module,Magento_ProductAlert
"There are not enough parameters.","There are not enough parameters.",module,Magento_ProductAlert
"The alert subscription couldn't update at this time. Please try again later.","The alert subscription couldn't update at this time. Please try again later.",module,Magento_ProductAlert
"Alert subscription has been saved.","Alert subscription has been saved.",module,Magento_ProductAlert
"You deleted the alert subscription.","You deleted the alert subscription.",module,Magento_ProductAlert
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again.",module,Magento_ProductAlert
"You will no longer receive price alerts for this product.","You will no longer receive price alerts for this product.",module,Magento_ProductAlert
"Unable to update the alert subscription.","Unable to update the alert subscription.",module,Magento_ProductAlert
"You will no longer receive stock alerts for this product.","You will no longer receive stock alerts for this product.",module,Magento_ProductAlert
"The product was not found.","The product was not found.",module,Magento_ProductAlert
"You will no longer receive stock alerts.","You will no longer receive stock alerts.",module,Magento_ProductAlert
"Invalid block type: %1","Invalid block type: %1",module,Magento_ProductAlert
"Price change alert! We wanted you to know that prices have changed for these products:","Price change alert! We wanted you to know that prices have changed for these products:",module,Magento_ProductAlert
Price:,Price:,module,Magento_ProductAlert
"Click here to stop alerts for this product.","Click here to stop alerts for this product.",module,Magento_ProductAlert
"Unsubscribe from all price alerts","Unsubscribe from all price alerts",module,Magento_ProductAlert
"In stock alert! We wanted you to know that these products are now available:","In stock alert! We wanted you to know that these products are now available:",module,Magento_ProductAlert
"Unsubscribe from all stock alerts","Unsubscribe from all stock alerts",module,Magento_ProductAlert
