Url,Url,module,Magento_ProductVideo
Title,Title,module,Magento_ProductVideo
Description,Description,module,Magento_ProductVideo
"Preview Image","Preview Image",module,Magento_ProductVideo
"Get Video Information","Get Video Information",module,Magento_ProductVideo
"Hide from Product Page","Hide from Product Page",module,Magento_ProductVideo
Role,Role,module,Magento_ProductVideo
"YouTube and Vimeo supported.","YouTube and Vimeo supported.",module,Magento_ProductVideo
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.",module,Magento_ProductVideo
"Protocol isn't allowed","Protocol isn't allowed",module,Magento_ProductVideo
"Disallowed file type.","Disallowed file type.",module,Magento_ProductVideo
"The preview image information is unavailable. Check your connection and try again.","The preview image information is unavailable. Check your connection and try again.",module,Magento_ProductVideo
"Add Video","Add Video",module,Magento_ProductVideo
"Browse to find or drag image here","Browse to find or drag image here",module,Magento_ProductVideo
"Delete image in all store views","Delete image in all store views",module,Magento_ProductVideo
"Delete video","Delete video",module,Magento_ProductVideo
"Delete image","Delete image",module,Magento_ProductVideo
Hidden,Hidden,module,Magento_ProductVideo
"Alt Text","Alt Text",module,Magento_ProductVideo
"Image Size","Image Size",module,Magento_ProductVideo
{size},{size},module,Magento_ProductVideo
"Image Resolution","Image Resolution",module,Magento_ProductVideo
"{width}^{height} px","{width}^{height} px",module,Magento_ProductVideo
Title:,Title:,module,Magento_ProductVideo
Uploaded:,Uploaded:,module,Magento_ProductVideo
Uploader:,Uploader:,module,Magento_ProductVideo
Duration:,Duration:,module,Magento_ProductVideo
