"Shopping cart error: %message","Shopping cart error: %message",module,Magento_QuoteGraphQl
"Could not find a product with SKU ""%sku""","Could not find a product with SKU ""%sku""",module,Magento_QuoteGraphQl
"Could not add the product with SKU %sku to the shopping cart: %message","Could not add the product with SKU %sku to the shopping cart: %message",module,Magento_QuoteGraphQl
"Missed ""sku"" in cart item data","Missed ""sku"" in cart item data",module,Magento_QuoteGraphQl
"Missing key ""quantity"" in cart item data","Missing key ""quantity"" in cart item data",module,Magento_QuoteGraphQl
"Please enter a number greater than 0 in this field.","Please enter a number greater than 0 in this field.",module,Magento_QuoteGraphQl
"Guest checkout is not allowed. Register a customer account or login with existing one.","Guest checkout is not allowed. Register a customer account or login with existing one.",module,Magento_QuoteGraphQl
"Could not find a cart with ID ""%masked_cart_id""","Could not find a cart with ID ""%masked_cart_id""",module,Magento_QuoteGraphQl
"Current user does not have an active cart.","Current user does not have an active cart.",module,Magento_QuoteGraphQl
"Wrong store code specified for cart ""%masked_cart_id""","Wrong store code specified for cart ""%masked_cart_id""",module,Magento_QuoteGraphQl
"The current user cannot perform operations on cart ""%masked_cart_id""","The current user cannot perform operations on cart ""%masked_cart_id""",module,Magento_QuoteGraphQl
"""Street Address"" cannot contain more than %1 lines.","""Street Address"" cannot contain more than %1 lines.",module,Magento_QuoteGraphQl
"The billing address must contain either ""customer_address_id"" or ""address"".","The billing address must contain either ""customer_address_id"" or ""address"".",module,Magento_QuoteGraphQl
"The billing address cannot contain ""customer_address_id"" and ""address"" at the same time.","The billing address cannot contain ""customer_address_id"" and ""address"" at the same time.",module,Magento_QuoteGraphQl
"Using the ""use_for_shipping"" option with multishipping is not possible.","Using the ""use_for_shipping"" option with multishipping is not possible.",module,Magento_QuoteGraphQl
"The current customer isn't authorized.","The current customer isn't authorized.",module,Magento_QuoteGraphQl
"Required parameter ""code"" for ""payment_method"" is missing.","Required parameter ""code"" for ""payment_method"" is missing.",module,Magento_QuoteGraphQl
"You cannot specify multiple shipping addresses.","You cannot specify multiple shipping addresses.",module,Magento_QuoteGraphQl
"The shipping address must contain either ""customer_address_id"" or ""address"".","The shipping address must contain either ""customer_address_id"" or ""address"".",module,Magento_QuoteGraphQl
"The shipping address cannot contain ""customer_address_id"" and ""address"" at the same time.","The shipping address cannot contain ""customer_address_id"" and ""address"" at the same time.",module,Magento_QuoteGraphQl
"You cannot specify multiple shipping methods.","You cannot specify multiple shipping methods.",module,Magento_QuoteGraphQl
"Required parameter ""carrier_code"" is missing.","Required parameter ""carrier_code"" is missing.",module,Magento_QuoteGraphQl
"Required parameter ""method_code"" is missing.","Required parameter ""method_code"" is missing.",module,Magento_QuoteGraphQl
"Could not update cart item: %message","Could not update cart item: %message",module,Magento_QuoteGraphQl
"Could not find cart item with id: %1.","Could not find cart item with id: %1.",module,Magento_QuoteGraphQl
"Could not update the product with SKU %sku: %message","Could not update the product with SKU %sku: %message",module,Magento_QuoteGraphQl
"Option type ""%1"" is not supported","Option type ""%1"" is not supported",module,Magento_QuoteGraphQl
"%1 doesn't implement CustomizableOptionValueInterface","%1 doesn't implement CustomizableOptionValueInterface",module,Magento_QuoteGraphQl
"Required parameter ""cart_id"" is missing","Required parameter ""cart_id"" is missing",module,Magento_QuoteGraphQl
"Required parameter ""cart_items"" is missing","Required parameter ""cart_items"" is missing",module,Magento_QuoteGraphQl
"""model"" value should be specified","""model"" value should be specified",module,Magento_QuoteGraphQl
"Required parameter ""coupon_code"" is missing","Required parameter ""coupon_code"" is missing",module,Magento_QuoteGraphQl
"A coupon is already applied to the cart. Please remove it to apply another","A coupon is already applied to the cart. Please remove it to apply another",module,Magento_QuoteGraphQl
"Missing key ""model"" in cart address data","Missing key ""model"" in cart address data",module,Magento_QuoteGraphQl
"Unsupported cart address type","Unsupported cart address type",module,Magento_QuoteGraphQl
"Missing key ""product"" in cart data","Missing key ""product"" in cart data",module,Magento_QuoteGraphQl
"Missing key ""type_id"" in product data","Missing key ""type_id"" in product data",module,Magento_QuoteGraphQl
"Product ""%product_type"" type is not supported","Product ""%product_type"" type is not supported",module,Magento_QuoteGraphQl
"Cart ID length should to be 32 symbols.","Cart ID length should to be 32 symbols.",module,Magento_QuoteGraphQl
"Cart with ID ""%1"" already exists.","Cart with ID ""%1"" already exists.",module,Magento_QuoteGraphQl
"Guest email for cart is missing.","Guest email for cart is missing.",module,Magento_QuoteGraphQl
"Unable to place order: %message","Unable to place order: %message",module,Magento_QuoteGraphQl
"Required parameter ""cart_id"" is missing.","Required parameter ""cart_id"" is missing.",module,Magento_QuoteGraphQl
"Required parameter ""cart_item_id"" is missing.","Required parameter ""cart_item_id"" is missing.",module,Magento_QuoteGraphQl
"Required parameter ""billing_address"" is missing","Required parameter ""billing_address"" is missing",module,Magento_QuoteGraphQl
"Required parameter ""email"" is missing","Required parameter ""email"" is missing",module,Magento_QuoteGraphQl
"Invalid email format","Invalid email format",module,Magento_QuoteGraphQl
"The request is not allowed for logged in customers","The request is not allowed for logged in customers",module,Magento_QuoteGraphQl
"Required parameter ""shipping_addresses"" is missing","Required parameter ""shipping_addresses"" is missing",module,Magento_QuoteGraphQl
"Required parameter ""shipping_methods"" is missing","Required parameter ""shipping_methods"" is missing",module,Magento_QuoteGraphQl
"""model"" values should be specified","""model"" values should be specified",module,Magento_QuoteGraphQl
"Required parameter ""cart_items"" is missing.","Required parameter ""cart_items"" is missing.",module,Magento_QuoteGraphQl
"Required parameter ""cart_item_id"" for ""cart_items"" is missing.","Required parameter ""cart_item_id"" for ""cart_items"" is missing.",module,Magento_QuoteGraphQl
"Required parameter ""quantity"" for ""cart_items"" is missing.","Required parameter ""quantity"" for ""cart_items"" is missing.",module,Magento_QuoteGraphQl
