"Search Term","Search Term",module,Magento_Search
Results,Results,module,Magento_Search
Uses,Uses,module,Magento_Search
"Search Terms","Search Terms",module,Magento_Search
"Search Synonyms","Search Synonyms",module,Magento_Search
"New Synonym Group","New Synonym Group",module,Magento_Search
Back,Back,module,Magento_Search
"Delete Synonym Group","Delete Synonym Group",module,Magento_Search
"Are you sure you want to delete this synonym group?","Are you sure you want to delete this synonym group?",module,Magento_Search
Reset,Reset,module,Magento_Search
"Save and Continue Edit","Save and Continue Edit",module,Magento_Search
"Save Synonym Group","Save Synonym Group",module,Magento_Search
Search,Search,module,Magento_Search
"Add New Search Term","Add New Search Term",module,Magento_Search
"Save Search","Save Search",module,Magento_Search
"Delete Search","Delete Search",module,Magento_Search
"Edit Search '%1'","Edit Search '%1'",module,Magento_Search
"New Search","New Search",module,Magento_Search
"Search Information","Search Information",module,Magento_Search
"General Information","General Information",module,Magento_Search
No,No,module,Magento_Search
Yes,Yes,module,Magento_Search
"Search Query","Search Query",module,Magento_Search
Store,Store,module,Magento_Search
"Number of results","Number of results",module,Magento_Search
"Number of results (For the last time placed)","Number of results (For the last time placed)",module,Magento_Search
"For the last time placed.","For the last time placed.",module,Magento_Search
"Number of Uses","Number of Uses",module,Magento_Search
"Redirect URL","Redirect URL",module,Magento_Search
"ex. http://domain.com","ex. http://domain.com",module,Magento_Search
"Display in Suggested Terms","Display in Suggested Terms",module,Magento_Search
"The synonym group has been deleted.","The synonym group has been deleted.",module,Magento_Search
"An error was encountered while performing delete operation.","An error was encountered while performing delete operation.",module,Magento_Search
"We can't find a synonym group to delete.","We can't find a synonym group to delete.",module,Magento_Search
"This synonyms group no longer exists.","This synonyms group no longer exists.",module,Magento_Search
"Edit Synonym Group","Edit Synonym Group",module,Magento_Search
"Synonym Group","Synonym Group",module,Magento_Search
"Failed to delete %1 synonym group(s).","Failed to delete %1 synonym group(s).",module,Magento_Search
"A total of %1 synonym group(s) have been deleted.","A total of %1 synonym group(s) have been deleted.",module,Magento_Search
Marketing,Marketing,module,Magento_Search
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.",module,Magento_Search
"This synonym group no longer exists.","This synonym group no longer exists.",module,Magento_Search
"You saved the synonym group.","You saved the synonym group.",module,Magento_Search
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.",module,Magento_Search
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.",module,Magento_Search
"You deleted the search.","You deleted the search.",module,Magento_Search
"We can't find a search term to delete.","We can't find a search term to delete.",module,Magento_Search
"This search no longer exists.","This search no longer exists.",module,Magento_Search
"Edit Search","Edit Search",module,Magento_Search
"Please select searches.","Please select searches.",module,Magento_Search
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted.",module,Magento_Search
Reports,Reports,module,Magento_Search
"Search Terms Report","Search Terms Report",module,Magento_Search
"You saved the search term.","You saved the search term.",module,Magento_Search
"Something went wrong while saving the search query.","Something went wrong while saving the search query.",module,Magento_Search
"You already have an identical search term query.","You already have an identical search term query.",module,Magento_Search
"Your search query can't be longer than %1, so we shortened your query.","Your search query can't be longer than %1, so we shortened your query.",module,Magento_Search
"The synonym group with the ""%1"" ID can't be deleted. %2","The synonym group with the ""%1"" ID can't be deleted. %2",module,Magento_Search
"Merge conflict with existing synonym group(s): %1","Merge conflict with existing synonym group(s): %1",module,Magento_Search
"All Websites","All Websites",module,Magento_Search
"    All Store Views","    All Store Views",module,Magento_Search
"All Store Views","All Store Views",module,Magento_Search
Delete,Delete,module,Magento_Search
"Are you sure you want to delete synonym group with id: %1?","Are you sure you want to delete synonym group with id: %1?",module,Magento_Search
View/Edit,View/Edit,module,Magento_Search
"Search entire store here...","Search entire store here...",module,Magento_Search
"There are no search terms available.","There are no search terms available.",module,Magento_Search
