Back,Back,module,Magento_Theme
"Save and Continue","Save and Continue",module,Magento_Theme
"Save Configuration","Save Configuration",module,Magento_Theme
%1,%1,module,Magento_Theme
Default,Default,module,Magento_Theme
Themes,Themes,module,Magento_Theme
"Save and Continue Edit","Save and Continue Edit",module,Magento_Theme
"Are you sure you want to delete this theme?","Are you sure you want to delete this theme?",module,Magento_Theme
"Theme: %1","Theme: %1",module,Magento_Theme
"New Theme","New Theme",module,Magento_Theme
"Theme CSS","Theme CSS",module,Magento_Theme
"Theme CSS Assets","Theme CSS Assets",module,Magento_Theme
"Custom CSS","Custom CSS",module,Magento_Theme
"Select CSS File to Upload","Select CSS File to Upload",module,Magento_Theme
"Upload CSS File","Upload CSS File",module,Magento_Theme
"Download CSS File","Download CSS File",module,Magento_Theme
Manage,Manage,module,Magento_Theme
"Upload Images","Upload Images",module,Magento_Theme
"Images Assets","Images Assets",module,Magento_Theme
"Upload Fonts","Upload Fonts",module,Magento_Theme
"Fonts Assets","Fonts Assets",module,Magento_Theme
"Edit custom.css","Edit custom.css",module,Magento_Theme
"Allowed file types *.css.","Allowed file types *.css.",module,Magento_Theme
"This file will replace the current custom.css file and can't be more than 2 MB.","This file will replace the current custom.css file and can't be more than 2 MB.",module,Magento_Theme
"Max file size to upload %1M","Max file size to upload %1M",module,Magento_Theme
"Something is wrong with the file upload settings.","Something is wrong with the file upload settings.",module,Magento_Theme
"CSS Editor","CSS Editor",module,Magento_Theme
"Theme Settings","Theme Settings",module,Magento_Theme
"Parent Theme","Parent Theme",module,Magento_Theme
"Theme Path","Theme Path",module,Magento_Theme
"Theme Title","Theme Title",module,Magento_Theme
"Theme Preview Image","Theme Preview Image",module,Magento_Theme
General,General,module,Magento_Theme
"Copy of %1","Copy of %1",module,Magento_Theme
"Max image size %1M","Max image size %1M",module,Magento_Theme
"Theme JavaScript","Theme JavaScript",module,Magento_Theme
"Select JS Files to Upload","Select JS Files to Upload",module,Magento_Theme
"Upload JS Files","Upload JS Files",module,Magento_Theme
"JS Editor","JS Editor",module,Magento_Theme
"Allowed file types *.js.","Allowed file types *.js.",module,Magento_Theme
Theme,Theme,module,Magento_Theme
"Media Storage","Media Storage",module,Magento_Theme
"Create Folder","Create Folder",module,Magento_Theme
"Delete Folder","Delete Folder",module,Magento_Theme
"Delete File","Delete File",module,Magento_Theme
"Insert File","Insert File",module,Magento_Theme
"New Folder Name:","New Folder Name:",module,Magento_Theme
"Are you sure you want to delete this folder?","Are you sure you want to delete this folder?",module,Magento_Theme
"Are you sure you want to delete this file?","Are you sure you want to delete this file?",module,Magento_Theme
"Storage Root","Storage Root",module,Magento_Theme
welcome,welcome,module,Magento_Theme
Global,Global,module,Magento_Theme
"Design Configuration","Design Configuration",module,Magento_Theme
"Page not found.","Page not found.",module,Magento_Theme
"You saved the configuration.","You saved the configuration.",module,Magento_Theme
"Something went wrong while saving this configuration:","Something went wrong while saving this configuration:",module,Magento_Theme
"You deleted the theme.","You deleted the theme.",module,Magento_Theme
"We cannot delete the theme.","We cannot delete the theme.",module,Magento_Theme
"File not found: ""%1"".","File not found: ""%1"".",module,Magento_Theme
"We can't find file.","We can't find file.",module,Magento_Theme
"We cannot find theme ""%1"".","We cannot find theme ""%1"".",module,Magento_Theme
