"Add Tax","Add Tax",module,Magento_Weee
"Delete Tax","Delete Tax",module,Magento_Weee
"All Websites","All Websites",module,Magento_Weee
FPT,FPT,module,Magento_Weee
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.",module,Magento_Weee
"Including FPT only","Including FPT only",module,Magento_Weee
"Including FPT and FPT description","Including FPT and FPT description",module,Magento_Weee
"Excluding FPT. Including FPT description and final price","Excluding FPT. Including FPT description and final price",module,Magento_Weee
"Excluding FPT","Excluding FPT",module,Magento_Weee
label_value,label_value,module,Magento_Weee
frontend_label,frontend_label,module,Magento_Weee
"Fixed Product Tax","Fixed Product Tax",module,Magento_Weee
Country/State,Country/State,module,Magento_Weee
Tax,Tax,module,Magento_Weee
Website,Website,module,Magento_Weee
Action,Action,module,Magento_Weee
"Excl. Tax","Excl. Tax",module,Magento_Weee
Total,Total,module,Magento_Weee
"Incl. Tax","Incl. Tax",module,Magento_Weee
"Total Incl. Tax","Total Incl. Tax",module,Magento_Weee
"Final Price","Final Price",module,Magento_Weee
