"Field ID","Field ID",module,Vertex_Tax
"Data Source","Data Source",module,Vertex_Tax
Country,Country,module,Vertex_Tax
"Delivery Term","Delivery Term",module,Vertex_Tax
Add,Add,module,Vertex_Tax
"Could not successfully delete record(s)","Could not successfully delete record(s)",module,Vertex_Tax
"Could not convert object to array","Could not convert object to array",module,Vertex_Tax
"Unable to calculate taxes. This could be caused by an invalid address provided in checkout.","Unable to calculate taxes. This could be caused by an invalid address provided in checkout.",module,Vertex_Tax
"Sales and Use","Sales and Use",module,Vertex_Tax
"Gift Options","Gift Options",module,Vertex_Tax
Shipping,Shipping,module,Vertex_Tax
"Failed to write crontab expression.","Failed to write crontab expression.",module,Vertex_Tax
"Vertex Tax Calculation has been automatically disabled. Display prices in Catalog must be set to ""Excluding Tax"" to use Vertex.","Vertex Tax Calculation has been automatically disabled. Display prices in Catalog must be set to ""Excluding Tax"" to use Vertex.",module,Vertex_Tax
"Stores affected: ","Stores affected: ",module,Vertex_Tax
"Store affected: ","Store affected: ",module,Vertex_Tax
"Click here to go to <a href=""%1"">Price Display Settings</a> and change your settings.","Click here to go to <a href=""%1"">Price Display Settings</a> and change your settings.",module,Vertex_Tax
"--Please Select--","--Please Select--",module,Vertex_Tax
"%1 - Cost and Freight","%1 - Cost and Freight",module,Vertex_Tax
"%1 - Cost Insurance and Freight","%1 - Cost Insurance and Freight",module,Vertex_Tax
"%1 - Carriage Insurance Paid To","%1 - Carriage Insurance Paid To",module,Vertex_Tax
"%1 - Carriage Paid To","%1 - Carriage Paid To",module,Vertex_Tax
"%1 - Customer Ships","%1 - Customer Ships",module,Vertex_Tax
"%1 - Delivered at Frontier","%1 - Delivered at Frontier",module,Vertex_Tax
"%1 - Delivered at Place","%1 - Delivered at Place",module,Vertex_Tax
"%1 - Delivered at Terminal","%1 - Delivered at Terminal",module,Vertex_Tax
"%1 - Delivery Duty Paid","%1 - Delivery Duty Paid",module,Vertex_Tax
"%1 - Delivery Duty Unpaid","%1 - Delivery Duty Unpaid",module,Vertex_Tax
"%1 - Delivered Ex Quay Duty Unpaid","%1 - Delivered Ex Quay Duty Unpaid",module,Vertex_Tax
"%1 - Ex Works","%1 - Ex Works",module,Vertex_Tax
"%1 - Free Along Side Ship","%1 - Free Along Side Ship",module,Vertex_Tax
"%1 - Free Carrier","%1 - Free Carrier",module,Vertex_Tax
"%1 - Free Onboard Vessel","%1 - Free Onboard Vessel",module,Vertex_Tax
"%1 - Supplier Ships","%1 - Supplier Ships",module,Vertex_Tax
"Export to file and delete","Export to file and delete",module,Vertex_Tax
Delete,Delete,module,Vertex_Tax
"Product and Shipping","Product and Shipping",module,Vertex_Tax
Jurisdiction,Jurisdiction,module,Vertex_Tax
"When Invoice Created","When Invoice Created",module,Vertex_Tax
"When Order Status Is Changed","When Order Status Is Changed",module,Vertex_Tax
". ' Field #%1'",". ' Field #%1'",module,Vertex_Tax
"Provided class name %1 was not located","Provided class name %1 was not located",module,Vertex_Tax
"First Name","First Name",module,Vertex_Tax
"Last Name","Last Name",module,Vertex_Tax
"Middle Name","Middle Name",module,Vertex_Tax
Email,Email,module,Vertex_Tax
Customer,Customer,module,Vertex_Tax
Birthdate,Birthdate,module,Vertex_Tax
"Attribute code %1 is not available or the attributes array from its processor is not properly indexed by attribute code","Attribute code %1 is not available or the attributes array from its processor is not properly indexed by attribute code",module,Vertex_Tax
"Processor for attribute code %1 not found","Processor for attribute code %1 not found",module,Vertex_Tax
"Attribute code %1 not found ","Attribute code %1 not found ",module,Vertex_Tax
"Product Type","Product Type",module,Vertex_Tax
Price,Price,module,Vertex_Tax
Product,Product,module,Vertex_Tax
"Store ID","Store ID",module,Vertex_Tax
"Cannot write log entry because no export file is open.","Cannot write log entry because no export file is open.",module,Vertex_Tax
"Could not save Custom Option Flexible Field Mapping","Could not save Custom Option Flexible Field Mapping",module,Vertex_Tax
"Could not delete Custom Option Flexible Field Mapping","Could not delete Custom Option Flexible Field Mapping",module,Vertex_Tax
"Unable to save Customer Code","Unable to save Customer Code",module,Vertex_Tax
"Unable to delete Customer Code","Unable to delete Customer Code",module,Vertex_Tax
"Unable to save Invoice Sent status","Unable to save Invoice Sent status",module,Vertex_Tax
"Unable to delete Invoice Sent status","Unable to delete Invoice Sent status",module,Vertex_Tax
"Could not save Log Entry","Could not save Log Entry",module,Vertex_Tax
"Could not delete log entry","Could not delete log entry",module,Vertex_Tax
"Could not delete log entries","Could not delete log entries",module,Vertex_Tax
