link,link,module,Klarna_Kp
"Click on this %1 to visit the Klarna Merchant Onboarding Page and request credentials.","Click on this %1 to visit the Klarna Merchant Onboarding Page and request credentials.",module,Klarna_Kp
"Unable to release authorization for the token %1","Unable to release authorization for the token %1",module,Klarna_Kp
"Unable to authorize payment for this order.","Unable to authorize payment for this order.",module,Klarna_Kp
"Klarna API Credentials are required","Klarna API Credentials are required",module,Klarna_Kp
"Missing required attribute(s) on %1: ""%2"".","Missing required attribute(s) on %1: ""%2"".",module,Klarna_Kp
"Order line totals do not total order_amount - %1 != %2","Order line totals do not total order_amount - %1 != %2",module,Klarna_Kp
"Klarna Payments is not enabled","Klarna Payments is not enabled",module,Klarna_Kp
"Please check credentials","Please check credentials",module,Klarna_Kp
"Unable to initialize Klarna payments session","Unable to initialize Klarna payments session",module,Klarna_Kp
