"Klarna order not found","Klarna order not found",module,Klarna_Ordermanagement
"Magento order not found","Magento order not found",module,Klarna_Ordermanagement
"Suspected Fraud: DO NOT SHIP. If already shipped,
                    please attempt to stop the carrier from delivering.","Suspected Fraud: DO NOT SHIP. If already shipped,
                    please attempt to stop the carrier from delivering.",module,Klarna_Ordermanagement
"Order processed by Klarna.","Order processed by Klarna.",module,Klarna_Ordermanagement
"Notification doesn't appear to be from Klarna","Notification doesn't appear to be from Klarna",module,Klarna_Ordermanagement
"%1 Klarna %2 api error messages: %3","%1 Klarna %2 api error messages: %3",module,Klarna_Ordermanagement
"Unable to cancel payment for this order.","Unable to cancel payment for this order.",module,Klarna_Ordermanagement
"Order cancellation failed, please try again.","Order cancellation failed, please try again.",module,Klarna_Ordermanagement
"Unable to capture payment for this order.","Unable to capture payment for this order.",module,Klarna_Ordermanagement
"Payment capture failed, please try again.","Payment capture failed, please try again.",module,Klarna_Ordermanagement
"Payment capture not allowed.","Payment capture not allowed.",module,Klarna_Ordermanagement
"Unable to refund payment for this order.","Unable to refund payment for this order.",module,Klarna_Ordermanagement
"Payment refund failed, please try again.","Payment refund failed, please try again.",module,Klarna_Ordermanagement
"%1 class doesn't implement \Klarna\Ordermanagement\Api\ApiInterface","%1 class doesn't implement \Klarna\Ordermanagement\Api\ApiInterface",module,Klarna_Ordermanagement
