"Could not retrieve assets.","Could not retrieve assets.",module,Magento_AdobeStockAsset
"Adobe Stock asset with id %id does not exist.","Adobe Stock asset with id %id does not exist.",module,Magento_AdobeStockAsset
"Requested asset does not exist.","Requested asset does not exist.",module,Magento_AdobeStockAsset
"Cannot retrieve assets from Adobe Stock.","Cannot retrieve assets from Adobe Stock.",module,Magento_AdobeStockAsset
"Could not delete Adobe Stock asset with id %id","Could not delete Adobe Stock asset with id %id",module,Magento_AdobeStockAsset
"An error occurred during adobe stock asset save.","An error occurred during adobe stock asset save.",module,Magento_AdobeStockAsset
"Could not delete Adobe Stock asset category with id %id","Could not delete Adobe Stock asset category with id %id",module,Magento_AdobeStockAsset
"Adobe Stock asset category with id ""%1"" does not exist.","Adobe Stock asset category with id ""%1"" does not exist.",module,Magento_AdobeStockAsset
"Could not delete Adobe Stock asset creator with id %id","Could not delete Adobe Stock asset creator with id %id",module,Magento_AdobeStockAsset
"Adobe Stock asset creator with id ""%1"" does not exist.","Adobe Stock asset creator with id ""%1"" does not exist.",module,Magento_AdobeStockAsset
