"Downloadable Information","Downloadable Information",module,Magento_Downloadable
"Add New Link","Add New Link",module,Magento_Downloadable
"Upload Files","Upload Files",module,Magento_Downloadable
"All Files","All Files",module,Magento_Downloadable
Unlimited,Unlimited,module,Magento_Downloadable
"Upload type can not be determined.","Upload type can not be determined.",module,Magento_Downloadable
"File can not be moved from temporary folder to the destination folder.","File can not be moved from temporary folder to the destination folder.",module,Magento_Downloadable
"Something went wrong while getting the requested content.","Something went wrong while getting the requested content.",module,Magento_Downloadable
"My Downloadable Products","My Downloadable Products",module,Magento_Downloadable
"We can't find the link you requested.","We can't find the link you requested.",module,Magento_Downloadable
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Please sign in to download your product or purchase <a href=""%1"">%2</a>.",module,Magento_Downloadable
"Please sign in to download your product.","Please sign in to download your product.",module,Magento_Downloadable
"The link has expired.","The link has expired.",module,Magento_Downloadable
"The link is not available.","The link is not available.",module,Magento_Downloadable
"Sorry, there was an error getting requested content. Please contact the store owner.","Sorry, there was an error getting requested content. Please contact the store owner.",module,Magento_Downloadable
"Please set resource file and link type.","Please set resource file and link type.",module,Magento_Downloadable
"Invalid download link type.","Invalid download link type.",module,Magento_Downloadable
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s).",module,Magento_Downloadable
"Provided content must be valid base64 encoded data.","Provided content must be valid base64 encoded data.",module,Magento_Downloadable
"Provided file name contains forbidden characters.","Provided file name contains forbidden characters.",module,Magento_Downloadable
"Link file not provided","Link file not provided",module,Magento_Downloadable
"Link price must have numeric positive value.","Link price must have numeric positive value.",module,Magento_Downloadable
"Number of downloads must be a positive integer.","Number of downloads must be a positive integer.",module,Magento_Downloadable
"Sort order must be a positive integer.","Sort order must be a positive integer.",module,Magento_Downloadable
"Link URL must have valid format.","Link URL must have valid format.",module,Magento_Downloadable
"Link URL's domain is not in list of downloadable_domains in env.php.","Link URL's domain is not in list of downloadable_domains in env.php.",module,Magento_Downloadable
"Provided file content must be valid base64 encoded data.","Provided file content must be valid base64 encoded data.",module,Magento_Downloadable
