"""%field"" must be list of SourceCarrierLinkInterface.","""%field"" must be list of SourceCarrierLinkInterface.",module,Magento_InventoryShipping
"You can't configure ""%field"" because you have chosen Global Shipping configuration.","You can't configure ""%field"" because you have chosen Global Shipping configuration.",module,Magento_InventoryShipping
"Carrier with code: ""%carrier"" don't exists.","Carrier with code: ""%carrier"" don't exists.",module,Magento_InventoryShipping
"Source item not found by source code: %1 and sku: %2.","Source item not found by source code: %1 and sku: %2.",module,Magento_InventorySourceDeductionApi
"Not all of your products are available in the requested quantity.","Not all of your products are available in the requested quantity.",module,Magento_InventorySourceDeductionApi
"There is no such Source Selection Algorithm implemented: %1","There is no such Source Selection Algorithm implemented: %1",module,Magento_InventorySourceSelection
"%1 doesn't implement SourceSelectionInterface","%1 doesn't implement SourceSelectionInterface",module,Magento_InventorySourceSelection
"Source with code ""%value"" does not exist.","Source with code ""%value"" does not exist.",module,Magento_Inventory
"Could not load Sources for Stock","Could not load Sources for Stock",module,Magento_Inventory
"Validation Failed","Validation Failed",module,Magento_Inventory
"Could not save Source","Could not save Source",module,Magento_Inventory
"""%field"" can not be empty.","""%field"" can not be empty.",module,Magento_Inventory
"""%field"" can not contain whitespaces.","""%field"" can not contain whitespaces.",module,Magento_Inventory
"Input data is empty","Input data is empty",module,Magento_Inventory
"Could not save Source Item","Could not save Source Item",module,Magento_Inventory
"Could not delete Source Items","Could not delete Source Items",module,Magento_Inventory
"""%field"" should be numeric.","""%field"" should be numeric.",module,Magento_Inventory
"""%field"" should a known status.","""%field"" should a known status.",module,Magento_Inventory
"There is no stock with ""%fieldValue"" for ""%fieldName"". Verify and try again.","There is no stock with ""%fieldValue"" for ""%fieldName"". Verify and try again.",module,Magento_Inventory
"Could not delete Stock","Could not delete Stock",module,Magento_Inventory
"Stock with id ""%value"" does not exist.","Stock with id ""%value"" does not exist.",module,Magento_Inventory
"Could not save Stock","Could not save Stock",module,Magento_Inventory
"Could not delete StockSourceLinks","Could not delete StockSourceLinks",module,Magento_Inventory
"Could not save StockSourceLinks","Could not save StockSourceLinks",module,Magento_Inventory
"""%field"" should be greater then 0.","""%field"" should be greater then 0.",module,Magento_Inventory
"Some error","Some error",module,Magento_Inventory
